word,frequency
AI,24
Claude,7
してみた,7
Code,6
開発,5
AWS,4
とは,4
える,4
構築,4
して,4
設計,4
処理,4
エージェント,4
GitHub,4
って,4
Cursor,4
つの,3
駆動,3
システム,3
生成,3
った,3
自動,3
LLM,3
アプリ,3
のための,3
検証,3
いた,3
した,3
入門,3
実際,3
エンジニア,3
Origin,3
作業,2
ただし,2
原因,2
全部,2
不安,2
Cloud,2
Oracle,2
Private,2
個人,2
YouTube,2
だけで,2
本番,2
毎日,2
セキュリティ,2
外国,2
人的,2
資本,2
国家,2
OS,2
視点,2
動経,2
済学,2
さくらの,2
Engine,2
理解,2
なぜ,2
Databricks,2
時代,2
質問,2
けの,2
DeepSeek,2
いている,2
MB,2
日本,2
するか,2
Azure,2
——,2
非同,2
工程,2
──,2
React,2
データ,2
活動,2
API,2
コード,2
Data,2
ハーネス,2
fork,1
既定,1
ON,1
のはずが,1
えなかった,1
環境,1
変数,1
つで,1
っていた,1
をやめて,1
Codex,1
きから,1
できた,1
がれたのは,1
要約,1
ではなかった,1
図解,1
VPC,1
部品,1
がらない,1
まとめた,1
