word,frequency
AI,27
Claude,12
Code,11
開発,8
Chrome,7
アプリ,6
入門,6
した,6
UI,6
セキュリティ,5
Agent,5
解説,5
える,5
拡張,5
への,4
った,4
設計,4
分析,4
保存,4
GitHub,4
める,4
実装,4
時代,4
macOS,4
React,4
Fluent,4
理解,4
環境,3
してみた,3
Oracle,3
動画,3
して,3
Web,3
しない,3
完全,3
Docker,3
）」,3
個人,3
エンジニア,3
実践,3
Data,3
Summit,3
】「,3
まとめ,3
——,3
Cursor,3
機能,3
API,3
つの,3
停止,3
Bot,3
って,3
会社,3
作成,3
ってみた,3
ツール,3
LLM,2
構築,2
OCI,2
Linux,2
メリット,2
なぜ,2
調査,2
えた,2
IT,2
とか,2
Amazon,2
リアルタイム,2
Chat,2
HTML,2
for,2
Antigravity,2
公開,2
スキル,2
記録,2
サーバー,2
サイト,2
完成,2
確認,2
NotebookLM,2
スコープ,2
という,2
理由,2
デプロイ,2
プロンプト,2
モード,2
生成,2
自己,2
自動,2
大規,2
計画,2
検証,2
段階,2
ゲーム,2
アーキテクチャ,2
とは,2
チーム,2
npm,2
at,2
Lakehouse,2
