word,frequency
AI,12
Claude,7
Code,5
した,4
ルール,3
API,3
理由,3
生成,3
実装,3
時代,3
レビュー,3
管理,2
確認,2
実測,2
かめた,2
つの,2
Python,2
解消,2
って,2
整理,2
Rerank,2
モデル,2
改善,2
ける,2
設計,2
アプリ,2
った,2
法則,2
AWS,2
IP,2
ハーネス,2
べてみた,2
エージェント,2
より,2
on,2
MCP,2
してみた,2
日目,2
自作,2
になった,2
める,2
PHP,2
結果,2
りの,2
ない,2
OCR,2
ローカル,2
ツール,2
開発,2
——,2
記録,2
自分,2
とある,2
現場,2
のおじさん,2
LLM,2
える,2
検証,2
せない,1
わせ,1
GAS,1
除外,1
人間,1
キュー,1
curl,1
ったつもりが,1
れていなかった,1
とし,1
スクリプト,1
毎回,1
CLI,1
起動,1
面倒,1
Qt,1
++,1
GUI,1
ランチャー,1
Swagger,1
結局,1
なに,1
OpenAPI,1
との,1
関係,1
新機,1
strands,1
のお,1
しの,1
メモ,1
js,1
えた,1
シェーダー,1
関連,1
機能,1
Oracle,1
Autonomous,1
Database,1
処理,1
In,1
DB,1
どう,1
