word,frequency
AI,12
Claude,11
Code,8
してみた,7
った,7
した,6
Gemini,5
エンジニア,5
コード,5
LLM,5
エージェント,4
作成,4
開発,4
AWS,4
システム,4
js,4
アプリ,3
現場,3
いた,3
つの,3
実装,3
情報,3
整理,3
──,3
Google,3
自動,3
実行,3
理由,3
Power,3
JavaScript,3
変更,3
Next,3
現実,3
して,2
コスト,2
ってみた,2
管理,2
失敗,2
えない,2
設計,2
命名,2
名前,2
目的,2
——,2
駆動,2
ファイル,2
本当,2
になるのか,2
成長,2
える,2
入門,2
Antigravity,2
Agent,2
GitHub,2
Android,2
拡張,2
Flash,2
可能,2
がある,2
レポート,2
選定,2
したら,2
問題,2
分解,2
プロ,2
for,2
方法,2
Cowork,2
自分,2
IBM,2
地味,2
生成,2
npm,2
サプライチェーン,2
攻撃,2
住所,2
RAG,2
基準,2
Aurora,2
Temporal,2
Date,2
React,2
ブラウザ,2
ツール,2
MCP,2
理解,2
デフォルトモデル,1
settings,1
local,1
json,1
固定,1
節約,1
ようやく,1
code,1
勤怠,1
①～,1
GPT,1
医療,1
CHI,1
Bench,1
