word,frequency
Code,13
Claude,12
AI,9
した,8
個人,7
開発,7
った,7
完全,6
ガイド,6
設計,5
日本,5
AWS,5
API,5
自動,5
Copilot,5
入門,5
公開,5
構築,5
環境,4
エンジニア,4
える,4
GitHub,4
opencode,4
をお,4
おう,4
——,4
してみた,4
gpt,3
realtime,3
オブジェクト,3
言語,3
アプリ,3
まとめ,3
デプロイ,3
VS,3
管理,3
TypeScript,3
Python,3
操作,3
ってみた,3
vs,3
情報,3
したら,3
MCP,3
解説,3
基盤,3
つの,3
タスク,3
Dirty,3
エージェント,3
実践,3
js,3
運用,2
OpenAI,2
現実,2
世界,2
PWA,2
Java,2
クラス,2
プログラミング,2
ライブラリ,2
not,2
code,2
って,2
？」,2
疑問,2
機能,2
Delphi,2
けの,2
比較,2
CI,2
styleText,2
node,2
util,2
Agent,2
GA,2
CLI,2
ツール,2
必要,2
として,2
経済,2
Store,2
登録,2
追加,2
Hooks,2
JavaScript,2
初心,2
最初,2
Obsidian,2
Codex,2
手順,2
OSS,2
変数,2
関節,2
計算,2
過程,2
共有,2
初学,2
設定,2
分解,2
