word,frequency
AI,18
開発,8
アプリ,6
設計,5
個人,5
日本,5
した,5
してみた,4
った,4
API,4
React,4
備忘,4
Next,4
js,4
Server,4
整理,4
言語,3
Python,3
さくらの,3
Engine,3
エンジニア,3
して,3
管理,3
完全,3
Claude,3
Code,3
って,3
駆動,3
Actions,3
入門,3
静的,2
改善,2
システム,2
ゼロ,2
CPU,2
戦略,2
わった,2
AWS,2
ってみた,2
環境,2
Gateway,2
Markdown,2
りました,2
同期,2
非同,2
実装,2
生成,2
理解,2
公開,2
しました,2
LLM,2
RSC,2
App,2
Router,2
方式,2
では,2
戦全,2
える,2
プログラミング,2
Mind,2
トランザクション,2
更新,2
Tcl,2
評価,2
begintran,2
rollback,2
実行,2
ロック,2
用語,2
つの,2
Miruri,2
macOS,2
無料,2
対応,2
UI,2
べてみた,2
Kotlin,2
ガイド,2
方法,2
admin,2
自動,2
Google,2
全部,2
承認,2
解析,1
ツール,1
実運,1
用開,1
さらなる,1
けて,1
Excel,1
にいたまま,1
ができた,1
人手,1
不足,1
だから,1
外国,1
えたいこと,1
雇用,1
失業,1
