word,frequency
AI,20
理由,6
Claude,5
時代,5
える,5
Code,4
AWS,4
開発,4
した,4
自分,4
ってみた,4
になった,3
設計,3
実装,3
記録,3
レビュー,3
モデル,3
アプリ,3
環境,3
プロンプト,3
MCP,3
なぜ,3
時間,3
活用,3
みを,3
自作,2
への,2
大丈,2
ってる,2
クラウド,2
」「,2
ける,2
結果,2
生成,2
Web,2
API,2
りの,2
ない,2
質問,2
個人,2
——,2
コード,2
ルール,2
Day,2
クラウドプラクティショナー,2
取得,2
第一,2
サーバーレス,2
読書,2
週間,2
GitHub,2
してみた,2
エージェント,2
とある,2
現場,2
のおじさん,2
LLM,2
iPaaS,2
RPA,2
べてみた,2
Python,2
つの,2
確認,2
Next,2
js,2
COBOL,2
導入,2
しないのか,2
えた,2
アカウント,2
Cloudflare,2
機能,2
して,2
リーダー,2
VSCode,2
エンジニア,2
間違,2
実務,2
IBM,2
Bob,2
ChatGPT,2
トレンド,2
Docker,2
制限,1
モード,1
った,1
スキル,1
せてみた,1
実験,1
からもらった,1
これからの,1
ヒント,1
面接,1
前職,1
不満,1
かれたら,1
無理,1
にきれいな,1
退職,1
をつくらなくても,1
