word,frequency
AI,17
開発,9
Code,7
した,6
AWS,6
Claude,5
った,5
アプリ,5
実装,5
PC,5
自作,4
個人,4
してみた,4
自動,4
して,4
方法,4
メモ,4
設計,4
推論,4
環境,3
ローカル,3
LLM,3
つの,3
言語,3
最小,3
かす,3
ゼロ,3
さくらの,3
サイト,3
日本,3
コード,3
生成,3
VS,2
整理,2
動画,2
確認,2
いすぎを,2
構築,2
Terraform,2
plan,2
結果,2
技術,2
しました,2
コードレビュー,2
解説,2
評価,2
時代,2
エージェント,2
ABC,2
音声,2
では,2
プログラミング,2
定義,2
全部,2
OSS,2
WSL,2
GB,2
りました,2
って,2
高校,2
公開,2
Cloud,2
EKS,2
GitHub,2
える,2
テスト,2
ベストプラクティス,2
スキル,2
作成,2
Apps,2
Qwen,2
RTX,2
Ti,2
Google,2
Ruby,2
検証,2
検知,2
監視,2
オフライン,1
での,1
Vibe,1
Coding,1
Chat,1
Agent,1
SLM,1
うために,1
したこと,1
せる,1
watch,1
video,1
すだけ,1
じゃなかった,1
さを,1
ける,1
新機,1
"、""",1
じゃありません,1
公式,1
ドキュメント,1
ズレ,1
