word,frequency
AI,18
Claude,9
Code,7
った,4
GitHub,4
AWS,4
入門,4
開発,4
LLM,3
可能,3
管理,3
整理,3
える,3
って,3
にする,2
Bedrock,2
するときの,2
方法,2
なぜ,2
には,2
ローカル,2
ったら,2
アプリ,2
エージェント,2
自動,2
設計,2
という,2
デザイン,2
Python,2
PostgreSQL,2
初心,2
番号,2
Git,2
環境,2
Db,2
新機,2
れる,2
Codex,2
検証,2
文字,2
企画,2
設定,2
したら,2
JSON,2
めた,2
安全,2
公開,2
因果,2
推論,2
ai,2
スペック,1
不足,1
なら,1
役割,1
ければいい,1
――,1
PC,1
わせて,1
ホームラボ,1
コンテキスト,1
コスト,1
えてみた,1
Synology,1
NAS,1
Actions,1
Self,1
Hosted,1
Runner,1
担当,1
製品,1
人力,1
キャッチアップ,1
れたので,1
"、""",1
毎週,1
作業,1
をまるっと,1
せてみた,1
殺伐,1
とした,1
界隈,1
ペット,1
しを,1
Rising,1
チーム,1
活動,1
告一,1
でたらめ,1
試行,1
核心,1
モンテカルロ,1
体感,1
確率,1
魔法,1
Mantle,1
モデル,1
Guardrails,1
適用,1
注意,1
Bitbucket,1
